stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,arrowDir,mask1,mask2,mask3,mask4,dontSkipInstructions.thisRepN,dontSkipInstructions.thisTrialN,dontSkipInstructions.thisN,dontSkipInstructions.thisIndex,runReal.thisRepN,runReal.thisTrialN,runReal.thisN,runReal.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_run.started,text_run.stopped,trigger1.keys,trigger1.rt,trigger1.started,trigger1.stopped,fixStart.started,fixStart.stopped,stim1.started,stim1.stopped,stim2.started,stim2.stopped,stim3.started,stim3.stopped,stim4.started,stim4.stopped,fixDelay.started,fixDelay.stopped,probe.started,probe.stopped,fixProbe.started,fixProbe.stopped,keyResp.keys,keyResp.corr,keyResp.started,keyResp.stopped,mask1_run.started,mask1_run.stopped,mask2_prac_2.started,mask2_prac_2.stopped,mask3_run.started,mask3_run.stopped,mask4_run.started,mask4_run.stopped,fixStartTrial.started,fixStartTrial.stopped,fixEnd.started,fixEnd.stopped,participant,session,age,sex at birth,dominant hand,instructions,realRuns,runNumber,date,expName,psychopyVersion,frameRate,
scrambles/id112_v1_so.jpg,scrambles/id113_v1_so.jpg,images/id129_v1_so.jpg,scrambles/id115_v1_so.jpg,images/id132_v1_so.jpg,0,1,so,None,<,scrambles/id030_v1_fm.jpg,scrambles/id023_v1_fm.jpg,scrambles/id078_v1_si.jpg,scrambles/id053_v1_ff.jpg,,,,,0,0,0,0,0,0,0,0,27.88192391395569,None,t,3.986233949661255,27.88192391395569,None,31.914423942565918,None,42.13094902038574,45.43120884895325,42.13094902038574,45.43120884895325,42.13094902038574,45.43120884895325,42.13094902038574,45.43120884895325,45.61453104019165,58.61357498168945,58.61357498168945,59.81350588798523,59.81350588798523,None,None,1,58.61357498168945,None,45.41449999809265,45.61453104019165,45.41449999809265,45.61453104019165,45.41449999809265,45.61453104019165,45.41449999809265,45.61453104019165,62.613364934921265,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id006_v1_fm.jpg,images/id033_v1_fm.jpg,images/id020_v1_fm.jpg,images/id014_v1_fm.jpg,images/id023_v1_fm.jpg,0,4,fm,None,>,scrambles/id036_v1_ff.jpg,scrambles/id082_v1_si.jpg,scrambles/id061_v1_ff.jpg,scrambles/id078_v1_si.jpg,,,,,0,0,0,0,0,1,1,1,,,,,,,,,72.76189684867859,76.0625159740448,72.76189684867859,76.0625159740448,72.76189684867859,76.0625159740448,72.76189684867859,76.0625159740448,76.24595403671265,89.24486589431763,89.24486589431763,90.44491481781006,90.44491481781006,None,None,1,89.24486589431763,None,76.0458288192749,76.24595403671265,76.0458288192749,76.24595403671265,76.0458288192749,76.24595403671265,76.0458288192749,76.24595403671265,93.31140184402466,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id131_v1_so.jpg,images/id115_v1_so.jpg,images/id114_v1_so.jpg,images/id112_v1_so.jpg,images/id131_v1_so.jpg,1,4,so,b,<,scrambles/id053_v1_ff.jpg,scrambles/id078_v1_si.jpg,scrambles/id078_v1_si.jpg,scrambles/id006_v1_fm.jpg,,,,,0,0,0,0,0,2,2,2,,,,,,,,,103.42671799659729,106.7271728515625,103.42671799659729,106.7271728515625,103.42671799659729,106.7271728515625,103.42671799659729,106.7271728515625,106.91052103042603,119.92548394203186,119.90950584411621,121.10945701599121,121.10945701599121,None,None,0,119.90950584411621,None,106.7103979587555,106.91052103042603,106.7103979587555,106.91052103042603,106.7103979587555,106.91052103042603,106.7103979587555,106.91052103042603,124.0092339515686,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
scrambles/id053_v1_ff.jpg,scrambles/id036_v1_ff.jpg,images/id045_v1_ff.jpg,scrambles/id055_v1_ff.jpg,images/id043_v1_ff.jpg,0,1,ff,None,<,scrambles/id082_v1_si.jpg,scrambles/id053_v1_ff.jpg,scrambles/id022_v1_fm.jpg,scrambles/id082_v1_si.jpg,,,,,0,0,0,0,0,3,3,3,,,,,,,,,134.0911819934845,137.3916778564453,134.0911819934845,137.3916778564453,134.0911819934845,137.3916778564453,134.0911819934845,137.3916778564453,137.57500982284546,150.574156999588,150.574156999588,151.77418684959412,151.77418684959412,None,None,1,150.574156999588,None,137.3750159740448,137.57500982284546,137.3750159740448,137.57500982284546,137.3750159740448,137.57500982284546,137.3750159740448,137.57500982284546,154.72387194633484,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
scrambles/id022_v1_fm.jpg,scrambles/id030_v1_fm.jpg,scrambles/id006_v1_fm.jpg,images/id022_v1_fm.jpg,images/id022_v1_fm.jpg,1,1,fm,b,<,scrambles/id061_v1_ff.jpg,scrambles/id112_v1_so.jpg,scrambles/id061_v1_ff.jpg,scrambles/id061_v1_ff.jpg,,,,,0,0,0,0,0,4,4,4,,,,,,,,,164.75581693649292,168.05632781982422,164.75581693649292,168.05632781982422,164.75581693649292,168.05632781982422,164.75581693649292,168.05632781982422,168.23966884613037,181.23878598213196,181.23878598213196,182.43869996070862,182.43869996070862,None,None,0,181.23878598213196,None,168.03970193862915,168.23966884613037,168.03970193862915,168.23966884613037,168.03970193862915,168.23966884613037,168.03970193862915,168.23966884613037,185.4218409061432,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
scrambles/id061_v1_ff.jpg,images/id064_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id069_v1_ff.jpg,images/id064_v1_ff.jpg,1,1,ff,y,>,scrambles/id113_v1_so.jpg,scrambles/id081_v1_si.jpg,scrambles/id112_v1_so.jpg,scrambles/id036_v1_ff.jpg,,,,,0,0,0,0,0,5,5,5,,,,,,,,,195.5038299560547,198.8042938709259,195.5038299560547,198.8042938709259,195.5038299560547,198.8042938709259,195.5038299560547,198.8042938709259,198.98770689964294,211.98674988746643,211.98674988746643,213.18670296669006,213.18670296669006,None,None,0,211.98674988746643,None,198.7879719734192,198.98770689964294,198.7879719734192,198.98770689964294,198.7879719734192,198.98770689964294,198.7879719734192,198.98770689964294,216.1201570034027,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id036_v1_ff.jpg,images/id041_v1_ff.jpg,images/id070_v1_ff.jpg,images/id040_v1_ff.jpg,images/id070_v1_ff.jpg,1,4,ff,b,<,scrambles/id081_v1_si.jpg,scrambles/id061_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id053_v1_ff.jpg,,,,,0,0,0,0,0,6,6,6,,,,,,,,,226.21844792366028,229.51902794837952,226.21844792366028,229.51902794837952,226.21844792366028,229.51902794837952,226.21844792366028,229.51902794837952,229.70225596427917,242.7013919353485,242.7013919353485,243.90132093429565,243.90132093429565,None,None,0,242.7013919353485,None,229.50226402282715,229.70225596427917,229.50226402282715,229.70225596427917,229.50226402282715,229.70225596427917,229.50226402282715,229.70225596427917,246.81778287887573,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
scrambles/id078_v1_si.jpg,images/id078_v1_si.jpg,scrambles/id084_v1_si.jpg,scrambles/id091_v1_si.jpg,images/id078_v1_si.jpg,1,1,si,y,>,scrambles/id118_v1_so.jpg,scrambles/id023_v1_fm.jpg,scrambles/id061_v1_ff.jpg,scrambles/id061_v1_ff.jpg,,,,,0,0,0,0,0,7,7,7,,,,,,,,,257.0005660057068,260.30023288726807,257.0005660057068,260.30023288726807,257.0005660057068,260.30023288726807,257.0005660057068,260.30023288726807,260.4835638999939,273.48272681236267,273.48272681236267,274.68262100219727,274.68262100219727,None,None,0,273.48272681236267,None,260.28357195854187,260.4835638999939,260.28357195854187,260.4835638999939,260.28357195854187,260.4835638999939,260.28357195854187,260.4835638999939,277.5157639980316,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
scrambles/id082_v1_si.jpg,scrambles/id081_v1_si.jpg,scrambles/id087_v1_si.jpg,images/id097_v1_si.jpg,images/id072_v1_si.jpg,0,1,si,None,<,scrambles/id061_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id078_v1_si.jpg,,,,,0,0,0,0,0,8,8,8,,,,,,,,,287.5978949069977,290.89840388298035,287.5978949069977,290.89840388298035,287.5978949069977,290.89840388298035,287.5978949069977,290.89840388298035,291.0816328525543,304.080677986145,304.080677986145,305.2805860042572,305.29726481437683,None,None,1,304.080677986145,None,290.88156485557556,291.0816328525543,290.88156485557556,291.0816328525543,290.88156485557556,291.0816328525543,290.88156485557556,291.0816328525543,308.21384501457214,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id017_v1_fm.jpg,images/id016_v1_fm.jpg,images/id010_v1_fm.jpg,images/id021_v1_fm.jpg,images/id016_v1_fm.jpg,1,4,fm,b,<,scrambles/id082_v1_si.jpg,scrambles/id081_v1_si.jpg,scrambles/id036_v1_ff.jpg,scrambles/id052_v1_ff.jpg,,,,,0,0,0,0,0,9,9,9,,,,,,,,,318.2623379230499,321.56283593177795,318.2623379230499,321.56283593177795,318.2623379230499,321.56283593177795,318.2623379230499,321.56283593177795,321.74617195129395,334.7452850341797,334.7452850341797,335.9452018737793,335.9452018737793,None,None,0,334.7452850341797,None,321.54617285728455,321.74617195129395,321.54617285728455,321.74617195129395,321.54617285728455,321.74617195129395,321.54617285728455,321.74617195129395,338.9116778373718,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id071_v1_si.jpg,images/id103_v1_si.jpg,images/id079_v1_si.jpg,images/id087_v1_si.jpg,images/id082_v1_si.jpg,0,4,si,None,>,scrambles/id006_v1_fm.jpg,scrambles/id118_v1_so.jpg,scrambles/id078_v1_si.jpg,scrambles/id006_v1_fm.jpg,,,,,0,0,0,0,0,10,10,10,,,,,,,,,349.07692193984985,352.37743282318115,349.07692193984985,352.37743282318115,349.07692193984985,352.37743282318115,349.07692193984985,352.37743282318115,352.56075286865234,365.55988001823425,365.55988001823425,366.7598009109497,366.7598009109497,None,None,1,365.55988001823425,None,352.3607659339905,352.56075286865234,352.3607659339905,352.56075286865234,352.3607659339905,352.56075286865234,352.3607659339905,352.56075286865234,369.6096270084381,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id018_v1_fm.jpg,scrambles/id023_v1_fm.jpg,scrambles/id010_v1_fm.jpg,scrambles/id017_v1_fm.jpg,images/id005_v1_fm.jpg,0,1,fm,None,<,scrambles/id030_v1_fm.jpg,scrambles/id118_v1_so.jpg,scrambles/id053_v1_ff.jpg,scrambles/id061_v1_ff.jpg,,,,,0,0,0,0,0,11,11,11,,,,,,,,,379.72489285469055,383.0254240036011,379.72489285469055,383.0254240036011,379.72489285469055,383.0254240036011,379.72489285469055,383.0254240036011,383.1932339668274,396.20787501335144,396.20787501335144,397.4078109264374,397.4078109264374,None,None,1,396.20787501335144,None,382.99206590652466,383.1932339668274,382.99206590652466,383.1932339668274,382.99206590652466,383.1932339668274,382.99206590652466,383.1932339668274,400.32428884506226,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id139_v1_so.jpg,scrambles/id118_v1_so.jpg,scrambles/id132_v1_so.jpg,scrambles/id131_v1_so.jpg,images/id139_v1_so.jpg,1,1,so,y,>,scrambles/id118_v1_so.jpg,scrambles/id078_v1_si.jpg,scrambles/id052_v1_ff.jpg,scrambles/id112_v1_so.jpg,,,,,0,0,0,0,0,12,12,12,,,,,,,,,410.40620493888855,413.70672583580017,410.40620493888855,413.70672583580017,410.40620493888855,413.70672583580017,410.40620493888855,413.70672583580017,413.8900249004364,426.88923692703247,426.88923692703247,428.08918285369873,428.08918285369873,None,None,0,426.88923692703247,None,413.6900818347931,413.8900249004364,413.6900818347931,413.8900249004364,413.6900818347931,413.8900249004364,413.6900818347931,413.8900249004364,431.0222330093384,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id111_v1_so.jpg,images/id127_v1_so.jpg,images/id107_v1_so.jpg,images/id118_v1_so.jpg,images/id113_v1_so.jpg,0,4,so,None,>,scrambles/id023_v1_fm.jpg,scrambles/id053_v1_ff.jpg,scrambles/id081_v1_si.jpg,scrambles/id030_v1_fm.jpg,,,,,0,0,0,0,0,13,13,13,,,,,,,,,441.17082691192627,444.4714050292969,441.17082691192627,444.4714050292969,441.17082691192627,444.4714050292969,441.17082691192627,444.4714050292969,444.6547088623047,457.6538589000702,457.6538589000702,458.8538730144501,458.8538730144501,None,None,1,457.6538589000702,None,444.454708814621,444.6547088623047,444.454708814621,444.6547088623047,444.454708814621,444.6547088623047,444.454708814621,444.6547088623047,461.7202408313751,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id091_v1_si.jpg,images/id105_v1_si.jpg,images/id081_v1_si.jpg,images/id086_v1_si.jpg,images/id091_v1_si.jpg,1,4,si,y,>,scrambles/id112_v1_so.jpg,scrambles/id036_v1_ff.jpg,scrambles/id078_v1_si.jpg,scrambles/id061_v1_ff.jpg,,,,,0,0,0,0,0,14,14,14,,,,,,,,,471.80242681503296,475.10271096229553,471.80242681503296,475.10271096229553,471.80242681503296,475.10271096229553,471.80242681503296,475.10271096229553,475.28601002693176,488.28537702560425,488.28537702560425,489.4843258857727,489.4843258857727,None,None,0,488.28537702560425,None,475.08611488342285,475.28601002693176,475.08611488342285,475.28601002693176,475.08611488342285,475.28601002693176,475.08611488342285,475.28601002693176,492.41821694374084,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
images/id053_v1_ff.jpg,images/id051_v1_ff.jpg,images/id052_v1_ff.jpg,images/id055_v1_ff.jpg,images/id069_v1_ff.jpg,0,4,ff,None,>,scrambles/id036_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id022_v1_fm.jpg,scrambles/id036_v1_ff.jpg,,,,,0,0,0,0,0,15,15,15,,,,,,,,,502.53361797332764,505.83409690856934,502.53361797332764,505.83409690856934,502.53361797332764,505.83409690856934,502.53361797332764,505.83409690856934,506.0007529258728,518.9998209476471,518.9998209476471,520.1989228725433,520.1989228725433,None,None,1,518.9998209476471,None,505.80072689056396,506.0007529258728,505.80072689056396,506.0007529258728,505.80072689056396,506.0007529258728,505.80072689056396,506.0007529258728,523.1162250041962,None,,,KD131,004,,,,0,1,trials_4.csv,2021_Mar_11_1234,Working memory load,2020.2.10,60.021780288123736,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.1155428886414,None,,,,,,,,,,,,,
