stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4,dontSkipInstructions.thisRepN,dontSkipInstructions.thisTrialN,dontSkipInstructions.thisN,dontSkipInstructions.thisIndex,runReal.thisRepN,runReal.thisTrialN,runReal.thisN,runReal.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_run.started,text_run.stopped,trigger1.keys,trigger1.rt,trigger1.started,trigger1.stopped,fixStart.started,fixStart.stopped,stim1.started,stim1.stopped,stim2.started,stim2.stopped,stim3.started,stim3.stopped,stim4.started,stim4.stopped,fixDelay.started,fixDelay.stopped,probe.started,probe.stopped,fixProbe.started,fixProbe.stopped,keyResp.keys,keyResp.corr,keyResp.started,keyResp.stopped,mask1_run.started,mask1_run.stopped,mask2_prac_2.started,mask2_prac_2.stopped,mask3_run.started,mask3_run.stopped,mask4_run.started,mask4_run.stopped,fixStartTrial.started,fixStartTrial.stopped,fixEnd.started,fixEnd.stopped,space_Run.keys,space_Run.rt,space_Run.started,space_Run.stopped,feedbackTxtRun.started,feedbackTxtRun.stopped,participant,session,age,sex at birth,dominant hand,instructions,realRuns,runNumber,date,expName,psychopyVersion,frameRate,
images/id017_v1_fm.jpg,images/id022_v1_fm.jpg,images/id015_v1_fm.jpg,images/id027_v1_fm.jpg,images/id011_v1_fm.jpg,0,4,fm,y,scrambles/id028_v1_fm.jpg,scrambles/id015_v1_fm.jpg,scrambles/id028_v1_fm.jpg,scrambles/id074_v1_si.jpg,,,,,0,0,0,0,0,0,0,0,13.6806960105896,None,t,6.97773289680481,13.6806960105896,None,20.696973085403442,None,30.76349902153015,34.06343913078308,30.76349902153015,34.06343913078308,30.76349902153015,34.06343913078308,30.76349902153015,34.06343913078308,34.246753215789795,47.24591016769409,47.24591016769409,48.44580602645874,48.44580602645874,None,None,0,47.24591016769409,None,34.046754121780396,34.246753215789795,34.046754121780396,34.246753215789795,34.046754121780396,34.246753215789795,34.046754121780396,34.246753215789795,51.395628213882446,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id010_v1_fm.jpg,scrambles/id003_v1_fm.jpg,scrambles/id028_v1_fm.jpg,scrambles/id027_v1_fm.jpg,images/id030_v1_fm.jpg,0,1,fm,y,scrambles/id139_v1_so.jpg,scrambles/id078_v1_si.jpg,scrambles/id039_v1_ff.jpg,scrambles/id028_v1_fm.jpg,,,,,0,0,0,0,0,1,1,1,,,,,,,,,61.44423007965088,64.74484014511108,61.44423007965088,64.74484014511108,61.44423007965088,64.74484014511108,61.44423007965088,64.74484014511108,64.92815804481506,77.92723321914673,77.92723321914673,79.12717318534851,79.12717318534851,None,None,0,77.92723321914673,None,64.72817802429199,64.92815804481506,64.72817802429199,64.92815804481506,64.72817802429199,64.92815804481506,64.72817802429199,64.92815804481506,82.09377121925354,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id087_v1_si.jpg,images/id086_v1_si.jpg,images/id104_v1_si.jpg,images/id088_v1_si.jpg,images/id096_v1_si.jpg,0,4,si,y,scrambles/id108_v1_so.jpg,scrambles/id058_v1_ff.jpg,scrambles/id045_v1_ff.jpg,scrambles/id078_v1_si.jpg,,,,,0,0,0,0,0,2,2,2,,,,,,,,,92.14230704307556,95.44276118278503,92.14230704307556,95.44276118278503,92.14230704307556,95.44276118278503,92.14230704307556,95.44276118278503,95.62613821029663,108.62523317337036,108.62523317337036,109.82515120506287,109.82515120506287,None,None,0,108.62523317337036,None,95.42608618736267,95.62613821029663,95.42608618736267,95.62613821029663,95.42608618736267,95.62613821029663,95.42608618736267,95.62613821029663,112.79174304008484,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id135_v1_so.jpg,scrambles/id108_v1_so.jpg,scrambles/id139_v1_so.jpg,scrambles/id135_v1_so.jpg,images/id135_v1_so.jpg,1,1,so,b,scrambles/id139_v1_so.jpg,scrambles/id030_v1_fm.jpg,scrambles/id074_v1_si.jpg,scrambles/id003_v1_fm.jpg,,,,,0,0,0,0,0,3,3,3,,,,,,,,,122.84030508995056,126.1407470703125,122.84030508995056,126.1407470703125,122.84030508995056,126.1407470703125,122.84030508995056,126.1407470703125,126.32405114173889,139.32334208488464,139.32334208488464,140.52324509620667,140.52324509620667,None,None,0,139.32334208488464,None,126.12408304214478,126.32405114173889,126.12408304214478,126.32405114173889,126.12408304214478,126.32405114173889,126.12408304214478,126.32405114173889,143.5064241886139,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id053_v1_ff.jpg,images/id038_v1_ff.jpg,images/id064_v1_ff.jpg,images/id070_v1_ff.jpg,images/id038_v1_ff.jpg,1,4,ff,b,scrambles/id058_v1_ff.jpg,scrambles/id045_v1_ff.jpg,scrambles/id015_v1_fm.jpg,scrambles/id003_v1_fm.jpg,,,,,0,0,0,0,0,4,4,4,,,,,,,,,153.555025100708,156.85540008544922,153.555025100708,156.85540008544922,153.555025100708,156.85540008544922,153.555025100708,156.85540008544922,157.0387601852417,170.0379831790924,170.0379831790924,171.2377791404724,171.2377791404724,None,None,0,170.0379831790924,None,156.8387532234192,157.0387601852417,156.8387532234192,157.0387601852417,156.8387532234192,157.0387601852417,156.8387532234192,157.0387601852417,174.20426201820374,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
scrambles/id038_v1_ff.jpg,scrambles/id045_v1_ff.jpg,images/id039_v1_ff.jpg,scrambles/id049_v1_ff.jpg,images/id039_v1_ff.jpg,1,1,ff,b,scrambles/id078_v1_si.jpg,scrambles/id109_v1_so.jpg,scrambles/id045_v1_ff.jpg,scrambles/id058_v1_ff.jpg,,,,,0,0,0,0,0,5,5,5,,,,,,,,,184.25284600257874,187.55347108840942,184.25284600257874,187.55347108840942,184.25284600257874,187.55347108840942,184.25284600257874,187.55347108840942,187.73673701286316,200.73593616485596,200.73593616485596,201.93578600883484,201.93578600883484,None,None,0,200.73593616485596,None,187.53673815727234,187.73673701286316,187.53673815727234,187.73673701286316,187.53673815727234,187.73673701286316,187.53673815727234,187.73673701286316,204.90226101875305,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
scrambles/id030_v1_fm.jpg,images/id033_v1_fm.jpg,scrambles/id015_v1_fm.jpg,scrambles/id022_v1_fm.jpg,images/id033_v1_fm.jpg,1,1,fm,b,scrambles/id039_v1_ff.jpg,scrambles/id086_v1_si.jpg,scrambles/id058_v1_ff.jpg,scrambles/id039_v1_ff.jpg,,,,,0,0,0,0,0,6,6,6,,,,,,,,,214.93414115905762,218.23475909233093,214.93414115905762,218.23475909233093,214.93414115905762,218.23475909233093,214.93414115905762,218.23475909233093,218.41810607910156,231.41721200942993,231.41721200942993,232.61634922027588,232.61634922027588,None,None,0,231.41721200942993,None,218.21809315681458,218.41810607910156,218.21809315681458,218.41810607910156,218.21809315681458,218.41810607910156,218.21809315681458,218.41810607910156,235.60047006607056,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id129_v1_so.jpg,images/id110_v1_so.jpg,images/id109_v1_so.jpg,images/id121_v1_so.jpg,images/id123_v1_so.jpg,0,4,so,y,scrambles/id039_v1_ff.jpg,scrambles/id039_v1_ff.jpg,scrambles/id108_v1_so.jpg,scrambles/id086_v1_si.jpg,,,,,0,0,0,0,0,7,7,7,,,,,,,,,245.6322991847992,248.93283104896545,245.6322991847992,248.93283104896545,245.6322991847992,248.93283104896545,245.6322991847992,248.93283104896545,249.11614108085632,262.11546421051025,262.11546421051025,263.3152232170105,263.3152232170105,None,None,0,262.11546421051025,None,248.91623401641846,249.11614108085632,248.91623401641846,249.11614108085632,248.91623401641846,249.11614108085632,248.91623401641846,249.11614108085632,266.2984960079193,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id108_v1_so.jpg,images/id140_v1_so.jpg,images/id139_v1_so.jpg,images/id126_v1_so.jpg,images/id140_v1_so.jpg,1,4,so,b,scrambles/id028_v1_fm.jpg,scrambles/id108_v1_so.jpg,scrambles/id108_v1_so.jpg,scrambles/id003_v1_fm.jpg,,,,,0,0,0,0,0,8,8,8,,,,,,,,,276.346871137619,279.647488117218,276.346871137619,279.647488117218,276.346871137619,279.647488117218,276.346871137619,279.647488117218,279.8141210079193,292.8134272098541,292.8134272098541,294.0124909877777,294.0124909877777,None,None,0,292.8134272098541,None,279.6142621040344,279.8141210079193,279.6142621040344,279.8141210079193,279.6142621040344,279.8141210079193,279.6142621040344,279.8141210079193,296.99649000167847,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id066_v1_ff.jpg,images/id049_v1_ff.jpg,images/id046_v1_ff.jpg,images/id047_v1_ff.jpg,images/id040_v1_ff.jpg,0,4,ff,y,scrambles/id086_v1_si.jpg,scrambles/id139_v1_so.jpg,scrambles/id015_v1_fm.jpg,scrambles/id086_v1_si.jpg,,,,,0,0,0,0,0,9,9,9,,,,,,,,,307.0448651313782,310.3454270362854,307.0448651313782,310.3454270362854,307.0448651313782,310.3454270362854,307.0448651313782,310.3454270362854,310.52872705459595,323.52787709236145,323.52787709236145,324.72695803642273,324.72695803642273,None,None,0,323.52787709236145,None,310.3287479877472,310.52872705459595,310.3287479877472,310.52872705459595,310.3287479877472,310.52872705459595,310.3287479877472,310.52872705459595,327.694354057312,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
scrambles/id074_v1_si.jpg,scrambles/id078_v1_si.jpg,images/id074_v1_si.jpg,scrambles/id077_v1_si.jpg,images/id074_v1_si.jpg,1,1,si,b,scrambles/id028_v1_fm.jpg,scrambles/id030_v1_fm.jpg,scrambles/id086_v1_si.jpg,scrambles/id038_v1_ff.jpg,,,,,0,0,0,0,0,10,10,10,,,,,,,,,337.7429230213165,341.0433871746063,337.7429230213165,341.0433871746063,337.7429230213165,341.0433871746063,337.7429230213165,341.0433871746063,341.2101089954376,354.20921301841736,354.20921301841736,355.4417531490326,355.4417531490326,None,None,0,354.20921301841736,None,341.01004910469055,341.2101089954376,341.01004910469055,341.2101089954376,341.01004910469055,341.2101089954376,341.01004910469055,341.2101089954376,358.3924741744995,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
scrambles/id058_v1_ff.jpg,scrambles/id039_v1_ff.jpg,scrambles/id059_v1_ff.jpg,images/id069_v1_ff.jpg,images/id045_v1_ff.jpg,0,1,ff,y,scrambles/id028_v1_fm.jpg,scrambles/id045_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id109_v1_so.jpg,,,,,0,0,0,0,0,11,11,11,,,,,,,,,368.44088101387024,371.7415699958801,368.44088101387024,371.7415699958801,368.44088101387024,371.7415699958801,368.44088101387024,371.7415699958801,371.92505407333374,384.9564621448517,384.9238781929016,386.1563811302185,386.1563811302185,None,None,0,384.9238781929016,None,371.72483706474304,371.92505407333374,371.72483706474304,371.92505407333374,371.72483706474304,371.92505407333374,371.72483706474304,371.92505407333374,389.10733008384705,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
scrambles/id086_v1_si.jpg,scrambles/id100_v1_si.jpg,scrambles/id088_v1_si.jpg,images/id078_v1_si.jpg,images/id085_v1_si.jpg,0,1,si,y,scrambles/id078_v1_si.jpg,scrambles/id045_v1_ff.jpg,scrambles/id086_v1_si.jpg,scrambles/id139_v1_so.jpg,,,,,0,0,0,0,0,12,12,12,,,,,,,,,399.20562720298767,402.5061581134796,399.20562720298767,402.5061581134796,399.20562720298767,402.5061581134796,399.20562720298767,402.5061581134796,402.6894850730896,415.6885302066803,415.6885302066803,416.9221000671387,416.9221000671387,None,None,0,415.6885302066803,None,402.4896311759949,402.6894850730896,402.4896311759949,402.6894850730896,402.4896311759949,402.6894850730896,402.4896311759949,402.6894850730896,419.8050260543823,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id003_v1_fm.jpg,images/id007_v1_fm.jpg,images/id034_v1_fm.jpg,images/id018_v1_fm.jpg,images/id034_v1_fm.jpg,1,4,fm,b,scrambles/id028_v1_fm.jpg,scrambles/id108_v1_so.jpg,scrambles/id074_v1_si.jpg,scrambles/id086_v1_si.jpg,,,,,0,0,0,0,0,13,13,13,,,,,,,,,429.90357303619385,433.2040660381317,429.90357303619385,433.2040660381317,429.90357303619385,433.2040660381317,429.90357303619385,433.2040660381317,433.3874001502991,446.38662910461426,446.38662910461426,447.6191871166229,447.6191871166229,None,None,0,446.38662910461426,None,433.1875422000885,433.3874001502991,433.1875422000885,433.3874001502991,433.1875422000885,433.3874001502991,433.1875422000885,433.3874001502991,450.5022292137146,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
scrambles/id109_v1_so.jpg,images/id114_v1_so.jpg,scrambles/id121_v1_so.jpg,scrambles/id114_v1_so.jpg,images/id138_v1_so.jpg,0,1,so,y,scrambles/id038_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id003_v1_fm.jpg,scrambles/id030_v1_fm.jpg,,,,,0,0,0,0,0,14,14,14,,,,,,,,,460.63487005233765,463.9353880882263,460.63487005233765,463.9353880882263,460.63487005233765,463.9353880882263,460.63487005233765,463.9353880882263,464.10219407081604,477.10122513771057,477.10122513771057,478.3337330818176,478.3337330818176,None,None,0,477.10122513771057,None,463.9021680355072,464.10219407081604,463.9021680355072,464.10219407081604,463.9021680355072,464.10219407081604,463.9021680355072,464.10219407081604,481.216863155365,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
images/id099_v1_si.jpg,images/id077_v1_si.jpg,images/id092_v1_si.jpg,images/id100_v1_si.jpg,images/id077_v1_si.jpg,1,4,si,b,scrambles/id108_v1_so.jpg,scrambles/id058_v1_ff.jpg,scrambles/id108_v1_so.jpg,scrambles/id039_v1_ff.jpg,,,,,0,0,0,0,0,15,15,15,,,,,,,,,491.3502161502838,494.65030217170715,491.3502161502838,494.65030217170715,491.3502161502838,494.65030217170715,491.3502161502838,494.65030217170715,494.8336410522461,507.8325560092926,507.8325560092926,509.06514716148376,509.06514716148376,None,None,0,507.8325560092926,None,494.6334969997406,494.8336410522461,494.6334969997406,494.8336410522461,494.6334969997406,494.8336410522461,494.6334969997406,494.8336410522461,511.91485619544983,None,,,,,,,,,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.8985760211945,None,b,98.52472400665283,522.6974470615387,None,522.6974470615387,None,mn23,001,,,,0,1,trials_1.csv,2021_Mar_11_1342,Working memory load,2020.2.10,59.98761432790566,
